"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額"
"8083","瑞穎","","2,000","278,000","280,000"
"8085","福華","","3,000","18,090","18,000"
"8086","宏捷科","","699,000","43,986,400","43,983,300"
"8088","品安","","7,000","106,550","107,100"
"8091","翔名","","34,000","3,758,000","3,775,500"
"8096","擎亞","","5,000","60,000","59,750"
"8097","常珵","","8,000","97,900","98,700"
"8099","大世科","","0","0","0"
"8107","大億金茂","","18,000","858,350","861,550"
"8109","博大","","1,000","70,400","70,600"
"8155","博智","","212,000","28,963,500","29,026,000"
"8176","智捷","","31,000","418,150","426,350"
"8182","加高","","0","0","0"
"8183","精星","","18,000","371,500","371,850"
"8234","新漢","","1,000","27,500","27,500"
"8240","華宏","","52,000","977,150","994,200"
"8255","朋程","","3,000","308,000","309,000"
"8277","商丞","","12,000","108,220","108,430"
"8279","生展","","15,000","2,388,000","2,380,000"
"8289","泰藝","","0","0","0"
"8299","群聯","","83,000","22,432,000","22,455,500"
"8349","�矬�","","64,000","7,404,000","7,453,500"
"8354","冠好","","3,000","59,250","59,250"
"8358","金居","","222,000","8,673,800","8,653,050"
"8383","千附","","71,000","3,067,150","3,097,850"
"8390","金益鼎","","0","0","0"
"8401","白紗科","","11,000","184,450","184,300"
"8403","盛弘","","31,000","1,154,100","1,149,450"
"8406","金可-KY","","260,000","64,192,000","64,459,000"
"8410","森田","","4,000","125,000","127,400"
"8415","大國鋼","","0","0","0"
"8416","實威","","2,000","294,000","294,000"
"8418","捷必勝-KY","","0","0","0"
"8420","明揚","","1,000","17,050","17,100"
"8421","旭源","","3,000","47,350","48,350"
"8424","惠普","","1,000","54,200","54,400"
"8426","紅木-KY","","0","0","0"
"8431","匯鑽科","","44,000","3,011,200","3,006,800"
"8432","東生華","","73,000","5,575,000","5,578,700"
"8433","弘帆","","0","0","0"
"8435","鉅邁","","0","0","0"
"8436","大江","","84,000","36,845,500","36,876,000"
"8437","大地-KY","","45,000","11,122,000","11,366,000"
"8444","綠河-KY","","15,000","1,936,000","1,963,500"
"8446","華研","","14,000","2,298,000","2,308,500"
"8450","霹靂","","2,000","114,900","116,200"
"8462","柏文","","1,000","156,000","158,000"
"8476","台境","","1,000","35,250","36,000"
"8489","三貝德","","427,000","149,315,500","149,678,500"
"8905","裕國","","0","0","0"
"8908","欣雄","","0","0","0"
"8913","全銓","","106,000","24,025,000","23,785,000"
"8916","光隆","","1,000","47,500","48,000"
"8917","欣泰","","0","0","0"
"8923","時報","","1,000","15,550","15,800"
"8924","大田","","74,000","2,883,550","2,885,600"
"8927","北基","","0","0","0"
"8928","鉅明","","1,000","26,150","26,450"
"8929","富堡","","0","0","0"
"8930","青鋼","","2,000","35,550","35,700"
"8931","大汽電","","0","0","0"
"8933","愛地雅","","33,000","372,500","373,000"
"8936","國統","","45,000","844,450","843,000"
"8937","合騏","","2,000","28,050","28,000"
"8938","明安","","279,000","12,128,050","11,982,800"
"8941","關中","","0","0","0"
"8942","森鉅","","574,000","44,351,700","44,485,500"
"9949","琉園","","1,000","10,350","10,500"
"9950","萬國通","","0","0","0"
"9951","皇田","","2,000","279,000","280,500"
"9960","邁達康","","0","0","0"
"9962","有益","","10,000","109,000","110,000"